source_entity,target_entity,relationship_description,verbs
PENELOPE,ULYSSES,Penelope mourns Ulysses as her dear husband,mourn
MINERVA,PENELOPE,Minerva sheds sweet sleep over Penelope's eyes while she mourns,shed
MINERVA,PENELOPE,Minerva sheds sweet sleep over Penelope's eyes while she mourns,mourn
TELEMACHUS,SUITORS,"Telemachus calls the suitors shameless and insolent, gives them formal notice to depart from his father's house",call
TELEMACHUS,SUITORS,"Telemachus calls the suitors shameless and insolent, gives them formal notice to depart from his father's house",give
TELEMACHUS,SUITORS,"Telemachus calls the suitors shameless and insolent, gives them formal notice to depart from his father's house",depart
SUITORS,PHEMIUS,The suitors listen to Phemius who has a divine voice,listen
SUITORS,PHEMIUS,The suitors listen to Phemius who has a divine voice,have
TELEMACHUS,PHEMIUS,Telemachus praises Phemius for his rare divine voice,praise
TELEMACHUS,JOVE,Telemachus invokes Jove to reckon with the suitors if they persist in their behavior,invoke
TELEMACHUS,JOVE,Telemachus invokes Jove to reckon with the suitors if they persist in their behavior,reckon
TELEMACHUS,JOVE,Telemachus invokes Jove to reckon with the suitors if they persist in their behavior,persist
ANTINOUS,EUPEITHES,Antinous is the son of Eupeithes,be
ANTINOUS,TELEMACHUS,Antinous responds to Telemachus's bold speech and challenges his claim to leadership,respond
ANTINOUS,TELEMACHUS,Antinous responds to Telemachus's bold speech and challenges his claim to leadership,challenge
TELEMACHUS,ITHACA,Telemachus claims he will be chief in Ithaca as his father was before him,claim
TELEMACHUS,ITHACA,Telemachus claims he will be chief in Ithaca as his father was before him,be
ULYSSES,ITHACA,Ulysses was previously chief in Ithaca before Telemachus,be
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and seeks to follow in his father's role as chief,be
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and seeks to follow in his father's role as chief,seek
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and seeks to follow in his father's role as chief,follow
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and will rule those whom his father won for him,be
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and will rule those whom his father won for him,rule
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and will rule those whom his father won for him,win
TELEMACHUS,ITHACA,Telemachus lives in Ithaca and claims he will be chief in his own house there,live
TELEMACHUS,ITHACA,Telemachus lives in Ithaca and claims he will be chief in his own house there,claim
TELEMACHUS,ITHACA,Telemachus lives in Ithaca and claims he will be chief in his own house there,be
ULYSSES,ITHACA,Ulysses was from Ithaca and won people there for his son to rule over,be
ULYSSES,ITHACA,Ulysses was from Ithaca and won people there for his son to rule over,win
ULYSSES,ITHACA,Ulysses was from Ithaca and won people there for his son to rule over,rule
EURYMACHUS,POLYBUS,Eurymachus is the son of Polybus,be
EURYMACHUS,TELEMACHUS,Eurymachus speaks to Telemachus about leadership and acknowledges he should be master in his own house,speak
EURYMACHUS,TELEMACHUS,Eurymachus speaks to Telemachus about leadership and acknowledges he should be master in his own house,acknowledge
EURYMACHUS,TELEMACHUS,Eurymachus speaks to Telemachus about leadership and acknowledges he should be master in his own house,be
EURYMACHUS,STRANGER,Eurymachus asks Telemachus about the stranger who visited and left suddenly,ask
EURYMACHUS,STRANGER,Eurymachus asks Telemachus about the stranger who visited and left suddenly,visit
EURYMACHUS,STRANGER,Eurymachus asks Telemachus about the stranger who visited and left suddenly,leave
STRANGER,TELEMACHUS,The stranger may have brought Telemachus news about his father's return,bring
STRANGER,TELEMACHUS,The stranger may have brought Telemachus news about his father's return,return
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and states his father is dead and gone,be
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and states his father is dead and gone,state
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and states his father is dead and gone,die
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and states his father is dead and gone,go
TELEMACHUS,PENELOPE,Telemachus is the son of Penelope who sometimes consults soothsayers,be
PENELOPE,SOOTHSAYER,Penelope sometimes sends for and questions the soothsayer,send
PENELOPE,SOOTHSAYER,Penelope sometimes sends for and questions the soothsayer,question
MENTES,ANCHIALUS,Mentes is the son of Anchialus,be
MENTES,TAPHIANS,Mentes is the chief of the Taphians,be
MENTES,ULYSSES,Mentes was an old friend of Ulysses,be
TELEMACHUS,MINERVA,Telemachus knew in his heart that the stranger had been the goddess Minerva,know
TELEMACHUS,MINERVA,Telemachus knew in his heart that the stranger had been the goddess Minerva,be
TELEMACHUS,TOWER,Telemachus has his room high up in the tower,have
TOWER,OUTER COURT,The tower looks onto the outer court,look
EURYCLEA,OPS,Euryclea is the daughter of Ops,be
OPS,PISENOR,Ops is the son of Pisenor,be
EURYCLEA,TORCHES,Euryclea carries a couple of blazing torches,carry
LAERTES,EURYCLEA,Laertes bought Euryclea with his own money when she was young,buy
TELEMACHUS,EURYCLEA,Euryclea goes before Telemachus with torches as he goes to his room,go
LAERTES,LAERTES' WIFE,Laertes was married to his wife and feared her resentment regarding Euryclea,marry
LAERTES,LAERTES' WIFE,Laertes was married to his wife and feared her resentment regarding Euryclea,fear
LAERTES,EURYCLEA,Laertes respected Euryclea but did not take her to his bed for fear of his wife's resentment,respect
LAERTES,EURYCLEA,Laertes respected Euryclea but did not take her to his bed for fear of his wife's resentment,take
LAERTES,EURYCLEA,Laertes respected Euryclea but did not take her to his bed for fear of his wife's resentment,fear
EURYCLEA,TELEMACHUS,Euryclea loved Telemachus better than other women in the house and had nursed him as a baby,love
EURYCLEA,TELEMACHUS,Euryclea loved Telemachus better than other women in the house and had nursed him as a baby,nurse
TELEMACHUS,BEDROOM,Telemachus went to his bedroom where he prepared for sleep,go
TELEMACHUS,BEDROOM,Telemachus went to his bedroom where he prepared for sleep,prepare
TELEMACHUS,BED,Telemachus sat down upon the bed and later lay on it covered with fleece,sit
TELEMACHUS,BED,Telemachus sat down upon the bed and later lay on it covered with fleece,lie
TELEMACHUS,SHIRT,Telemachus took off his shirt and gave it to Euryclea,take
TELEMACHUS,SHIRT,Telemachus took off his shirt and gave it to Euryclea,give
EURYCLEA,SHIRT,Euryclea folded Telemachus's shirt tidily and hung it up,fold
EURYCLEA,SHIRT,Euryclea folded Telemachus's shirt tidily and hung it up,hang
EURYCLEA,PEG,Euryclea hung the shirt over a peg by the bedside,hang
EURYCLEA,SILVER CATCH,Euryclea used the silver catch to pull the door closed,use
EURYCLEA,SILVER CATCH,Euryclea used the silver catch to pull the door closed,pull
EURYCLEA,SILVER CATCH,Euryclea used the silver catch to pull the door closed,close
EURYCLEA,STRAP,Euryclea used the strap to draw the bolt home on the door,use
EURYCLEA,STRAP,Euryclea used the strap to draw the bolt home on the door,draw
TELEMACHUS,WOOLLEN FLEECE,Telemachus lay covered with the woollen fleece while thinking,lie
TELEMACHUS,WOOLLEN FLEECE,Telemachus lay covered with the woollen fleece while thinking,cover
TELEMACHUS,WOOLLEN FLEECE,Telemachus lay covered with the woollen fleece while thinking,think
TELEMACHUS,MINERVA,Telemachus thought all night about the counsel that Minerva had given him,think
TELEMACHUS,MINERVA,Telemachus thought all night about the counsel that Minerva had given him,give
